id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1348416030972862465,https://twitter.com/6U0w0U9/status/1348416030972862465,Sun Jan 10 23:46:48 +0000 2021,2021-01-10 23:46:48+00:00,6U0w0U9,@Tea_earte てぃさんふぁいとん,reply,,,,,0,Tea_earte,1348380771216621569,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1093070416707346433,Wed Feb 06 08:54:30 +0000 2019,False,はるきく➰ん‼️るあち➿❣️￤i：@6U0w0U9 h：@Mainasucat 隠れ家 @__lO_lO_,8312,91,128,4,えいえんの美少女戦士,あろん@lon(26),5556,,,False
1348417298403614730,https://twitter.com/simulacrum76/status/1348417298403614730,Sun Jan 10 23:51:50 +0000 2021,2021-01-10 23:51:50+00:00,simulacrum76,Amanhã irei gravar as aulas práticas de ZooIV para o EARTE. Estou animado 🙂,original,,,,,8,,,,pt,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",485641649,Tue Feb 07 12:29:24 +0000 2012,False,"Biólogo, ecólogo quantitativo e iogue 🕉️
Pai da Laurinha ♥
Vivendo fora do sistema nas montanhas capixabas ⛰️🌳 🌱🌿",38550,268,1317,1,"Santa Teresa, Espírito Santo",Chicoh,4720,,,False
1348418981028356096,https://twitter.com/sptacula/status/1348418981028356096,Sun Jan 10 23:58:32 +0000 2021,2021-01-10 23:58:32+00:00,sptacula,somente uma semaninha morando na praia é capaz de me preparar minimamente pra volta do earte,original,,,,,0,,,,pt,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",964333391515734021,Fri Feb 16 02:59:31 +0000 2018,False,E agora José?,2644,177,202,0,,fruta gogoia,15502,,,False
1348426339187974147,https://twitter.com/yomogimoRi/status/1348426339187974147,Mon Jan 11 00:27:46 +0000 2021,2021-01-11 00:27:46+00:00,yomogimoRi,@Tea_earte あぶないあぶない！,reply,,,,,0,Tea_earte,1348361092708200448,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1288068915382255617,Tue Jul 28 11:09:59 +0000 2020,False,お絵かきとじゃがいもとホラーと映画とコスメ好き。 ジャンル問わず呟きます。,9041,95,159,2,,モリ,3229,,,False
1348467605812760578,https://twitter.com/flwr_sn/status/1348467605812760578,Mon Jan 11 03:11:45 +0000 2021,2021-01-11 03:11:45+00:00,flwr_sn,"O mais engraçado é mamãe falando q é pra deixa pra depois das férias. Que eu posso fazer tudo pelo pc.

Eu falei pra ela que o earte volta em fevereiro? E que vamos ter 3 semestres? E q eu já deveria ter encomendado um tanque de oxigênio?",original,,,,,0,,,,pt,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1010961034113437697,Sun Jun 24 19:01:08 +0000 2018,False,what a shame | until every cage is empty 👊 | 📔 CR: O Código da Vinci,38007,206,376,3,Stormer,ʞıןן ✨ | Quinn ♦️,30937,,https://spoti.fi/2ttZ0x7,False
1348512803900964866,https://twitter.com/yuki_naki_n/status/1348512803900964866,Mon Jan 11 06:11:21 +0000 2021,2021-01-11 06:11:21+00:00,yuki_naki_n,@Tea_earte たべた〜すぎて〜しんどい〜むり〜♪♪,reply,,,,,0,Tea_earte,1348512438040240131,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1343695705018265601,Mon Dec 28 23:10:07 +0000 2020,False,Illust￤FA￤ 👑∅🍵🌸∅(🍵)∅ஐ￤神▷珠名 @suna__co,3980,368,491,20,こしょりす,なき。(にゃは)👑2/18生誕低浮上ｷﾞﾐ,7352,,https://twpf.jp/yuki_naki_n,False
1348513061984821249,https://twitter.com/yuki_naki_n/status/1348513061984821249,Mon Jan 11 06:12:22 +0000 2021,2021-01-11 06:12:22+00:00,yuki_naki_n,@Tea_earte そーだよ！歌えるよ,reply,,,,,1,Tea_earte,1348512982578302976,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1343695705018265601,Mon Dec 28 23:10:07 +0000 2020,False,Illust￤FA￤ 👑∅🍵🌸∅(🍵)∅ஐ￤神▷珠名 @suna__co,3980,368,491,20,こしょりす,なき。(にゃは)👑2/18生誕低浮上ｷﾞﾐ,7352,,https://twpf.jp/yuki_naki_n,False
1348534949138219010,https://twitter.com/b2Gr8/status/1348534949138219010,Mon Jan 11 07:39:21 +0000 2021,2021-01-11 07:39:21+00:00,b2Gr8,"昨日のビゴさんの
炙りサーモン丼食べたすぎて
しんどい。むり。お腹すいた。",retweet,,,,,5,,,,ja,,,1,1348512438040240131,Tea_earte,1302151645543854080,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
1348536339969449986,https://twitter.com/b2Gr8/status/1348536339969449986,Mon Jan 11 07:44:52 +0000 2021,2021-01-11 07:44:52+00:00,b2Gr8,"@Tea_earte つらぁい🎶しんどぉい🎶そんな時はぁ🎶
これしか🎶ないよぉ🎶ビーゴーイーツじゃんっ🎶",reply,,,,,0,Tea_earte,1348512438040240131,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
1348539669420511235,https://twitter.com/b2Gr8/status/1348539669420511235,Mon Jan 11 07:58:06 +0000 2021,2021-01-11 07:58:06+00:00,b2Gr8,@Tea_earte 愛しか勝たんすらっしゅすらっしゅすらっしゅ,reply,,,,,1,Tea_earte,1348443190412550144,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
